Location Type,Incident Zip,City,Borough,Latitude,Longitude,num_calls
Park/Playground,11105,ASTORIA,QUEENS,40.77867848,-73.91429249,18
Store/Commercial,11221,BROOKLYN,BROOKLYN,40.69440359,-73.93064653,16
Street/Sidewalk,10033,NEW YORK,MANHATTAN,40.84682457,-73.93556225,66
Club/Bar/Restaurant,11217,BROOKLYN,BROOKLYN,40.68148609,-73.97702246,18
Store/Commercial,11215,BROOKLYN,BROOKLYN,40.67085414,-73.98491359,14
Residential Building/House,11106,ASTORIA,QUEENS,40.76154468,-73.92445081,289
House of Worship,10032,NEW YORK,MANHATTAN,40.84413857,-73.93751656,15
Park/Playground,10011,NEW YORK,MANHATTAN,40.74268834,-74.0003717,130
Store/Commercial,10022,NEW YORK,MANHATTAN,40.75676421,-73.96715332,44
Street/Sidewalk,10019,NEW YORK,MANHATTAN,40.76804592,-73.9839385,26
Club/Bar/Restaurant,11216,BROOKLYN,BROOKLYN,40.68220447,-73.93787741,49
Store/Commercial,11238,BROOKLYN,BROOKLYN,40.68821529,-73.96278078,14
Residential Building/House,10001,NEW YORK,MANHATTAN,40.74908619,-73.99389339,36
House of Worship,10019,NEW YORK,MANHATTAN,40.76121189,-73.98690016,53
Park/Playground,10002,NEW YORK,MANHATTAN,40.71527342,-73.99168522,40
Store/Commercial,11217,BROOKLYN,BROOKLYN,40.68138729,-73.97707658,12
Street/Sidewalk,11209,BROOKLYN,BROOKLYN,40.62838143,-74.02904041,54
Club/Bar/Restaurant,11105,ASTORIA,QUEENS,40.77350816,-73.91167435,14
Store/Commercial,10009,NEW YORK,MANHATTAN,40.72231555,-73.98321356,10
Residential Building/House,10003,NEW YORK,MANHATTAN,40.73787622,-73.98850331,12
House of Worship,11237,BROOKLYN,BROOKLYN,40.70336533,-73.92634531,20
Park/Playground,10009,NEW YORK,MANHATTAN,40.7274952,-73.98535176,32
Store/Commercial,10011,NEW YORK,MANHATTAN,40.73877432,-74.00018404,32
Street/Sidewalk,10023,NEW YORK,MANHATTAN,40.77758314,-73.97922791,24
Club/Bar/Restaurant,10453,BRONX,BRONX,40.8571179,-73.90482501,19
Store/Commercial,10009,NEW YORK,MANHATTAN,40.72605395,-73.98353372,15
Residential Building/House,10009,NEW YORK,MANHATTAN,40.72473066,-73.98145235,68
House of Worship,10002,NEW YORK,MANHATTAN,40.7221652,-73.98815969,72
Park/Playground,10303,STATEN ISLAND,STATEN ISLAND,40.626026,-74.17672214,26
Store/Commercial,10013,NEW YORK,MANHATTAN,40.71574278,-74.00824269,26
Street/Sidewalk,11378,MASPETH,QUEENS,40.72925895,-73.90022336,21
Club/Bar/Restaurant,11106,ASTORIA,QUEENS,40.76272656,-73.9269872,19
Store/Commercial,11103,ASTORIA,QUEENS,40.76723794,-73.91741911,52
Residential Building/House,11215,BROOKLYN,BROOKLYN,40.65780242,-73.98277206,15
House of Worship,11372,JACKSON HEIGHTS,QUEENS,40.755483,-73.88616134,42
Park/Playground,11385,RIDGEWOOD,QUEENS,40.70145292,-73.88665032,18
Store/Commercial,11103,ASTORIA,QUEENS,40.75897464,-73.91899955,14
Street/Sidewalk,11217,BROOKLYN,BROOKLYN,40.68672159,-73.98426818,14
Club/Bar/Restaurant,10003,NEW YORK,MANHATTAN,40.73240037,-73.98784396,28
Store/Commercial,10027,NEW YORK,MANHATTAN,40.80854614,-73.9449372,57
Residential Building/House,11211,BROOKLYN,BROOKLYN,40.70727997,-73.95387926,19
House of Worship,10466,BRONX,BRONX,40.88674715,-73.85716662,161
Park/Playground,10453,BRONX,BRONX,40.84858654,-73.91805909,18
Store/Commercial,10003,NEW YORK,MANHATTAN,40.72844754,-73.98467686,82
Street/Sidewalk,10014,NEW YORK,MANHATTAN,40.7331091,-74.00339897,20
Club/Bar/Restaurant,11222,BROOKLYN,BROOKLYN,40.7230555,-73.94458212,11
Store/Commercial,10019,NEW YORK,MANHATTAN,40.76386068,-73.98791763,18
Residential Building/House,10012,NEW YORK,MANHATTAN,40.72141089,-73.9949746,22
House of Worship,11249,BROOKLYN,BROOKLYN,40.71085754,-73.96491072,32
Park/Playground,11369,EAST ELMHURST,QUEENS,40.76004503,-73.87836379,28
Store/Commercial,10009,NEW YORK,MANHATTAN,40.7222742,-73.9820483,15
Street/Sidewalk,10014,NEW YORK,MANHATTAN,40.74036888,-74.00579908,21
Club/Bar/Restaurant,10033,NEW YORK,MANHATTAN,40.85237109,-73.9346279,100
Store/Commercial,11249,BROOKLYN,BROOKLYN,40.7138099,-73.96174926,23
Residential Building/House,10016,NEW YORK,MANHATTAN,40.7455572,-73.97774741,55
House of Worship,10025,NEW YORK,MANHATTAN,40.79892213,-73.96308729,257
Park/Playground,10019,NEW YORK,MANHATTAN,40.76233478,-73.98980224,91
Store/Commercial,10002,NEW YORK,MANHATTAN,40.71763055,-73.98546215,10
Street/Sidewalk,11233,BROOKLYN,BROOKLYN,40.68293027,-73.93505,20
Club/Bar/Restaurant,10009,NEW YORK,MANHATTAN,40.72568792,-73.9776891,70
Store/Commercial,10016,NEW YORK,MANHATTAN,40.74166025,-73.98108677,10
Residential Building/House,10458,BRONX,BRONX,40.85652475,-73.89202173,12
